table,sentence
<page_title> 2005 Cheltenham & Gloucester Trophy  <section_title> First Round  <table> <cell> Bedfordshire 143/9 (50 overs)  ,"In the 2005 Cheltenham & Gloucester Trophy, Bedfordshire made 143 for 9 in 50 overs."
"<page_title> List of universities in the United Kingdom by enrolment  <section_title> Universities and other higher education providers by size  <table> <cell> 5 <col_header> Rank   <cell> University of Leeds <col_header> Institution   <cell> 33,300 <col_header> Total students   ","The University of Leeds has 33,300 students and was the fifth largest university in the UK."
<page_title> Swimming at the 2000 Summer Olympics – Women's 100 metre breaststroke  <section_title> Heats  <table> <cell> Penny Heyns <col_header> Name   <cell> South Africa <col_header> Nationality   <cell> 1:07.85 <col_header> Time   <cell> Sarah Poewe <col_header> Name   <cell> South Africa <col_header> Nationality   ,Sarah Poewe trailed behind her teammate in 1:07.85.
"<page_title> SM UB-45  <section_title> Summary of raiding history  <table> <cell> 31 August 1916 <col_header> Date   <cell> Imperial Russian Navy <col_header> Nationality   <cell> 2 September 1916 <col_header> Date   <cell> Gioconda <col_header> Name   <cell> Imperial Russian Navy <col_header> Nationality   <cell> 3,701 <col_header> Tonnage   <cell> Sunk <col_header> Fate   ","Two days later, the U-boat torpedoed the 3,701-ton Gioconda, another Russian transport."
"<page_title> Sydney McLaughlin  <table> <cell> 2015 World Youth Championships in Athletics <col_header> Year  <col_header> Representing United States   <cell> Cali, Colombia <col_header> Competition  <col_header> Representing United States   <cell> 1st <col_header> Venue  <col_header> Representing United States   <cell> 55.94 <col_header> Event  <col_header> Representing United States   ","Sydney McLaughlin won gold with 55.94 at the 2015 World Youth Championships in Cali, Colombia."
<page_title> Trivial File Transfer Protocol  <section_title> IETF standards documentation  <table> <cell> RFC 7440 <col_header> RFC Number   <cell> TFTP Windowsize Option <col_header> Title   <cell> Jan 2015 <col_header> Published   ,In January 2015 TFTP Windowsize Option RFC 7440 was published.
"<page_title> Jeep Comanche  <section_title> Engines  <table> <cell> 2.5 Litre <col_header> Name   <cell> 121 hp (90 kW) at 5,000 rpm <col_header> Name   <cell> 141 lb⋅ft (191 N⋅m) at 3,500 rpm <col_header> Displacement   ",The 2.5 L engine has output 121 hp and 141 lb⋅ft.
<page_title> Glenn M. Curtis  <section_title> Head coaching record  <table> <cell> Indiana State Sycamores (Indiana Intercollegiate Conference) (1938–1946) <col_header> Season  <col_header> Team  <col_header> Overall  <col_header> Conference  <col_header> Standing  <col_header> Postseason   <cell> NAIA Third Round <col_header> Postseason   <cell> NAIA First Round <col_header> Postseason   <cell> 1945–46 <col_header> Season   <cell> 1st <col_header> Standing   <cell> NAIA National Runner-up <col_header> Postseason   <cell> 122–45 (.724) <col_header> Overall   ,"Glenn M. Curtis won 122 games and led the Sycamores to three NAIA Tournaments, reaching the national championship in 1946."
<page_title> Mercedes-Benz 300 SL  <section_title> Production numbers by year  <table> <cell> Coupe <col_header>    <cell> 166 <col_header> 1954  <row_header> Coupe </row_header>  <cell> 856 <col_header> 1955  <row_header> Coupe </row_header>  <cell> 308 <col_header> 1956  <row_header> Coupe </row_header>  <cell> 70 <col_header> 1957  <row_header> Coupe </row_header>  <cell> Roadster <col_header>   <col_header> Coupe   <cell> 618 <col_header> 1957  <row_header> Roadster </row_header>  <cell> 267 <col_header> 1958  <row_header> Roadster </row_header>  <cell> 200 <col_header> 1959  <row_header> Roadster </row_header>  <cell> 241 <col_header> 1960  <row_header> Roadster </row_header>  <cell> 256 <col_header> 1961  <row_header> Roadster </row_header>  <cell> 182 <col_header> 1962  <row_header> Roadster </row_header>  <cell> 94 <col_header> 1963  <row_header> Roadster </row_header>  ,Mercedes-Benz 300 SL was first produced as a coupe from 1954 to 1957 and then from 1957 to 1963 as a roadster.
<page_title> 2003 Slovenian privatisation referendum  <section_title> Slovenian Railways  <table> <cell> 51.9 <col_header> %   ,The 2003 Slovenian privatisation referendum was rejected by 51.9% of voters.
"<page_title> Spank Thru  <section_title> Demo and studio versions  <table> <cell> January 23, 1988 <col_header> Date recorded   <cell> Reciprocal Recording <col_header> Studio   <cell> Jack Endino <col_header> Producer/recorder   ","The Spank Thru was recorded by Jack Endino at Reciprocal Recording on January 23, 1988."
